transaction_id,customer_id,product_id,quantity,transaction_date,branch
1,778,5,9,2025-08-25,tanta
2,1622,4,10,2025-08-25,tanta
3,1136,1,3,2025-08-25,cairo
4,83,2,3,2025-08-25,tanta
5,1770,4,3,2025-08-25,cairo
6,725,6,10,2025-08-25,tanta
7,983,5,5,2025-08-25,tanta
8,342,2,9,2025-08-25,tanta
9,1302,6,3,2025-08-25,alex
10,1947,3,7,2025-08-25,cairo
11,1744,6,10,2025-08-25,cairo
12,959,2,6,2025-08-25,alex
13,1532,6,1,2025-08-25,cairo
14,1153,3,2,2025-08-25,cairo
15,1569,3,6,2025-08-25,tanta
16,1339,3,7,2025-08-25,cairo
17,541,1,7,2025-08-25,tanta
18,430,2,4,2025-08-25,cairo
19,528,4,2,2025-08-25,cairo
20,1803,2,2,2025-08-25,cairo
21,1025,2,1,2025-08-25,alex
22,1918,2,8,2025-08-25,cairo
23,1389,7,8,2025-08-25,tanta
24,397,6,10,2025-08-25,alex
25,1863,4,7,2025-08-25,cairo
26,1111,6,3,2025-08-25,tanta
27,348,4,3,2025-08-25,tanta
28,1040,3,5,2025-08-25,cairo
29,797,7,8,2025-08-25,tanta
30,1560,5,3,2025-08-25,cairo
31,567,7,10,2025-08-25,alex
32,496,1,8,2025-08-25,tanta
33,1465,4,9,2025-08-25,cairo
34,1876,1,6,2025-08-25,cairo
35,474,1,6,2025-08-25,alex
36,1076,1,7,2025-08-25,alex
37,1298,7,1,2025-08-25,tanta
38,858,3,7,2025-08-25,alex
39,60,2,6,2025-08-25,cairo
40,1620,2,6,2025-08-25,tanta
41,1973,3,1,2025-08-25,tanta
42,185,4,10,2025-08-25,cairo
43,1690,1,9,2025-08-25,alex
44,1491,5,10,2025-08-25,alex
45,1065,7,9,2025-08-25,alex
46,548,7,8,2025-08-25,alex
47,1879,7,3,2025-08-25,cairo
48,1906,6,1,2025-08-25,alex
49,1125,4,1,2025-08-25,cairo
50,754,1,1,2025-08-25,cairo
51,1452,3,5,2025-08-25,cairo
52,239,2,3,2025-08-25,alex
53,1528,4,10,2025-08-25,tanta
54,1926,3,5,2025-08-25,tanta
55,1951,4,4,2025-08-25,alex
56,666,1,4,2025-08-25,alex
57,1372,6,5,2025-08-25,tanta
58,1464,5,2,2025-08-25,tanta
59,1093,7,3,2025-08-25,cairo
60,1088,7,1,2025-08-25,cairo
61,149,7,2,2025-08-25,cairo
62,634,5,4,2025-08-25,tanta
63,1800,3,6,2025-08-25,cairo
64,176,2,9,2025-08-25,tanta
65,1203,5,5,2025-08-25,tanta
66,999,5,4,2025-08-25,cairo
67,1353,7,2,2025-08-25,cairo
68,440,6,1,2025-08-25,cairo
69,1960,3,8,2025-08-25,alex
70,15,7,5,2025-08-25,tanta
71,325,2,9,2025-08-25,cairo
72,583,4,10,2025-08-25,cairo
73,1743,3,1,2025-08-25,alex
74,1078,5,9,2025-08-25,cairo
75,404,3,3,2025-08-25,alex
76,1733,6,1,2025-08-25,alex
77,12,7,5,2025-08-25,tanta
78,1511,5,1,2025-08-25,cairo
79,192,6,2,2025-08-25,alex
80,1324,2,7,2025-08-25,alex
81,1708,1,6,2025-08-25,tanta
82,1704,4,8,2025-08-25,cairo
83,1248,3,2,2025-08-25,alex
84,564,1,3,2025-08-25,tanta
85,1068,3,2,2025-08-25,cairo
86,434,5,8,2025-08-25,tanta
87,553,4,6,2025-08-25,cairo
88,509,5,7,2025-08-25,tanta
89,330,5,3,2025-08-25,tanta
90,608,1,5,2025-08-25,tanta
91,589,2,9,2025-08-25,tanta
92,1400,5,6,2025-08-25,cairo
93,356,5,5,2025-08-25,cairo
94,1375,3,2,2025-08-25,cairo
95,91,1,9,2025-08-25,cairo
96,936,2,6,2025-08-25,cairo
97,67,6,4,2025-08-25,alex
98,123,7,6,2025-08-25,alex
99,927,7,9,2025-08-25,cairo
100,1101,3,8,2025-08-25,tanta
101,297,2,1,2025-08-25,cairo
102,45,1,8,2025-08-25,tanta
103,1168,6,7,2025-08-25,cairo
104,864,2,8,2025-08-25,cairo
105,1083,3,2,2025-08-25,tanta
106,1696,4,5,2025-08-25,cairo
107,738,6,6,2025-08-25,cairo
108,569,5,5,2025-08-25,tanta
109,228,3,10,2025-08-25,tanta
110,1656,5,6,2025-08-25,alex
111,1631,4,2,2025-08-25,tanta
112,396,6,6,2025-08-25,cairo
113,895,4,7,2025-08-25,alex
114,852,7,1,2025-08-25,cairo
115,337,7,7,2025-08-25,tanta
116,1565,3,1,2025-08-25,cairo
117,1067,4,3,2025-08-25,tanta
118,231,4,1,2025-08-25,alex
119,1477,3,7,2025-08-25,tanta
120,1613,1,1,2025-08-25,alex
121,1196,3,7,2025-08-25,alex
122,471,4,2,2025-08-25,tanta
123,1690,2,5,2025-08-25,tanta
124,970,2,6,2025-08-25,cairo
125,1329,6,7,2025-08-25,cairo
126,31,5,4,2025-08-25,cairo
127,1684,7,6,2025-08-25,tanta
128,48,7,5,2025-08-25,cairo
129,883,1,1,2025-08-25,alex
130,1527,7,10,2025-08-25,tanta
131,662,2,6,2025-08-25,tanta
132,454,4,3,2025-08-25,cairo
133,388,3,2,2025-08-25,alex
134,7,2,9,2025-08-25,tanta
135,1098,2,10,2025-08-25,cairo
136,1342,3,5,2025-08-25,tanta
137,1319,1,8,2025-08-25,cairo
138,942,1,5,2025-08-25,alex
139,395,5,5,2025-08-25,tanta
140,401,6,7,2025-08-25,cairo
141,846,7,2,2025-08-25,tanta
142,460,5,2,2025-08-25,cairo
143,624,6,2,2025-08-25,cairo
144,62,1,1,2025-08-25,alex
145,1088,7,1,2025-08-25,alex
146,573,6,4,2025-08-25,alex
147,21,2,3,2025-08-25,cairo
148,228,6,3,2025-08-25,cairo
149,581,2,6,2025-08-25,alex
150,622,2,4,2025-08-25,cairo
151,223,2,6,2025-08-25,alex
152,452,4,8,2025-08-25,alex
153,1674,5,4,2025-08-25,alex
154,885,1,1,2025-08-25,cairo
155,1268,2,9,2025-08-25,cairo
156,776,6,10,2025-08-25,cairo
157,1096,6,5,2025-08-25,cairo
158,26,4,2,2025-08-25,cairo
159,1207,3,10,2025-08-25,cairo
160,581,5,3,2025-08-25,tanta
161,1305,4,9,2025-08-25,alex
162,1607,2,8,2025-08-25,alex
163,1729,7,10,2025-08-25,tanta
164,751,7,9,2025-08-25,alex
165,48,2,10,2025-08-25,cairo
166,1821,4,5,2025-08-25,tanta
167,1752,6,9,2025-08-25,alex
168,404,7,1,2025-08-25,tanta
169,1627,3,9,2025-08-25,alex
170,465,1,8,2025-08-25,alex
171,1089,5,9,2025-08-25,alex
172,321,5,4,2025-08-25,cairo
173,1911,4,3,2025-08-25,alex
174,563,6,2,2025-08-25,tanta
175,1168,6,2,2025-08-25,alex
176,1151,3,3,2025-08-25,tanta
177,890,5,2,2025-08-25,tanta
178,255,3,7,2025-08-25,tanta
179,1177,3,8,2025-08-25,tanta
180,1440,1,3,2025-08-25,alex
181,1692,3,2,2025-08-25,tanta
182,469,1,7,2025-08-25,alex
183,202,6,5,2025-08-25,tanta
184,525,6,2,2025-08-25,cairo
185,117,3,3,2025-08-25,alex
186,974,2,7,2025-08-25,cairo
187,887,4,6,2025-08-25,tanta
188,356,4,3,2025-08-25,tanta
189,509,6,9,2025-08-25,alex
190,32,2,3,2025-08-25,cairo
191,1248,2,9,2025-08-25,tanta
192,29,1,2,2025-08-25,tanta
193,976,4,10,2025-08-25,cairo
194,1055,3,1,2025-08-25,tanta
195,433,4,1,2025-08-25,alex
196,368,2,6,2025-08-25,alex
197,1456,7,6,2025-08-25,alex
198,1198,6,3,2025-08-25,tanta
199,328,5,7,2025-08-25,tanta
200,888,6,5,2025-08-25,cairo
201,1505,1,5,2025-08-25,cairo
202,426,4,5,2025-08-25,cairo
203,919,1,7,2025-08-25,alex
204,142,6,5,2025-08-25,cairo
205,288,4,5,2025-08-25,alex
206,222,5,4,2025-08-25,cairo
207,1942,1,5,2025-08-25,cairo
208,1351,2,4,2025-08-25,cairo
209,652,1,4,2025-08-25,alex
210,413,4,8,2025-08-25,alex
211,891,5,2,2025-08-25,tanta
212,1152,5,7,2025-08-25,tanta
213,789,4,2,2025-08-25,alex
214,1569,5,4,2025-08-25,cairo
215,1781,5,2,2025-08-25,alex
216,153,1,8,2025-08-25,alex
217,298,6,3,2025-08-25,cairo
218,879,3,10,2025-08-25,tanta
219,841,3,6,2025-08-25,alex
220,37,2,2,2025-08-25,cairo
221,1089,1,9,2025-08-25,cairo
222,416,7,1,2025-08-25,alex
223,529,4,7,2025-08-25,tanta
224,392,1,10,2025-08-25,tanta
225,242,5,4,2025-08-25,alex
226,1428,7,5,2025-08-25,cairo
227,823,2,5,2025-08-25,tanta
228,172,1,7,2025-08-25,cairo
229,679,6,3,2025-08-25,alex
230,592,7,3,2025-08-25,alex
231,830,5,4,2025-08-25,alex
232,1057,1,9,2025-08-25,tanta
233,345,4,6,2025-08-25,alex
234,689,6,5,2025-08-25,cairo
235,161,7,2,2025-08-25,alex
236,1112,7,8,2025-08-25,tanta
237,644,5,6,2025-08-25,cairo
238,1445,7,5,2025-08-25,tanta
239,1871,1,9,2025-08-25,alex
240,283,5,5,2025-08-25,alex
241,170,3,8,2025-08-25,alex
242,1060,5,5,2025-08-25,alex
243,513,1,3,2025-08-25,tanta
244,816,4,6,2025-08-25,cairo
245,1876,1,5,2025-08-25,alex
246,992,4,10,2025-08-25,alex
247,505,6,4,2025-08-25,tanta
248,593,7,10,2025-08-25,cairo
249,327,6,1,2025-08-25,alex
250,277,2,1,2025-08-25,tanta
251,1781,4,5,2025-08-25,alex
252,49,7,6,2025-08-25,alex
253,14,1,2,2025-08-25,cairo
254,86,4,2,2025-08-25,tanta
255,788,1,2,2025-08-25,alex
256,1823,5,6,2025-08-25,alex
257,334,4,6,2025-08-25,tanta
258,1833,3,1,2025-08-25,alex
259,188,2,3,2025-08-25,tanta
260,1972,2,4,2025-08-25,cairo
261,87,1,6,2025-08-25,cairo
262,376,1,9,2025-08-25,tanta
263,851,6,3,2025-08-25,cairo
264,950,7,10,2025-08-25,tanta
265,1670,3,9,2025-08-25,cairo
266,1446,7,3,2025-08-25,cairo
