transaction_id,customer_id,product_id,quantity,transaction_date,branch
10001,1898,4,3,2025-08-28,alex
10002,344,7,5,2025-08-28,tanta
10003,1388,7,9,2025-08-28,alex
10004,1916,6,9,2025-08-28,alex
10005,1262,1,8,2025-08-28,cairo
10006,1974,7,3,2025-08-28,alex
10007,750,2,8,2025-08-28,tanta
10008,853,5,10,2025-08-28,tanta
10009,1732,1,5,2025-08-28,alex
10010,675,6,4,2025-08-28,cairo
10011,1998,3,3,2025-08-28,cairo
10012,1242,1,4,2025-08-28,tanta
10013,1537,1,5,2025-08-28,cairo
10014,1577,2,9,2025-08-28,cairo
10015,1372,4,4,2025-08-28,cairo
10016,1567,6,4,2025-08-28,tanta
10017,1100,4,6,2025-08-28,tanta
10018,647,6,10,2025-08-28,alex
10019,902,1,2,2025-08-28,tanta
10020,608,7,5,2025-08-28,cairo
10021,1855,5,8,2025-08-28,tanta
10022,1303,1,3,2025-08-28,tanta
10023,452,1,1,2025-08-28,alex
10024,232,2,6,2025-08-28,alex
10025,1150,2,1,2025-08-28,tanta
10026,924,3,7,2025-08-28,cairo
10027,107,6,6,2025-08-28,alex
10028,1855,6,8,2025-08-28,tanta
10029,1490,6,1,2025-08-28,tanta
10030,1891,4,9,2025-08-28,cairo
10031,722,2,7,2025-08-28,tanta
10032,1186,5,7,2025-08-28,tanta
10033,1621,4,6,2025-08-28,alex
10034,1975,6,5,2025-08-28,tanta
10035,1115,7,6,2025-08-28,cairo
10036,116,4,8,2025-08-28,cairo
10037,621,2,3,2025-08-28,cairo
10038,1402,7,9,2025-08-28,cairo
10039,1588,6,9,2025-08-28,cairo
10040,102,5,10,2025-08-28,alex
10041,218,3,4,2025-08-28,cairo
10042,1723,2,10,2025-08-28,cairo
10043,1268,7,5,2025-08-28,tanta
10044,1108,5,4,2025-08-28,tanta
10045,1437,7,10,2025-08-28,cairo
10046,1340,1,3,2025-08-28,tanta
10047,478,4,8,2025-08-28,cairo
10048,570,4,1,2025-08-28,alex
10049,1735,2,6,2025-08-28,alex
10050,554,7,7,2025-08-28,cairo
10051,1328,1,2,2025-08-28,tanta
10052,1472,3,5,2025-08-28,alex
10053,360,5,7,2025-08-28,alex
10054,1070,1,3,2025-08-28,cairo
10055,1079,4,2,2025-08-28,cairo
10056,1801,6,5,2025-08-28,alex
10057,1482,5,5,2025-08-28,alex
10058,341,5,9,2025-08-28,alex
10059,1461,3,8,2025-08-28,alex
10060,393,7,5,2025-08-28,cairo
10061,485,3,7,2025-08-28,cairo
10062,555,6,3,2025-08-28,cairo
10063,1666,2,8,2025-08-28,cairo
10064,633,3,6,2025-08-28,tanta
10065,1794,2,6,2025-08-28,cairo
10066,1476,3,5,2025-08-28,alex
10067,1563,3,8,2025-08-28,cairo
10068,1564,1,2,2025-08-28,alex
10069,1296,6,3,2025-08-28,cairo
10070,895,5,6,2025-08-28,cairo
10071,494,4,1,2025-08-28,alex
10072,667,3,8,2025-08-28,tanta
10073,301,6,4,2025-08-28,tanta
10074,234,3,9,2025-08-28,cairo
10075,613,7,8,2025-08-28,alex
10076,1242,7,8,2025-08-28,tanta
10077,1270,4,5,2025-08-28,tanta
10078,911,5,8,2025-08-28,tanta
10079,1738,6,7,2025-08-28,tanta
10080,1789,2,4,2025-08-28,alex
10081,1393,7,10,2025-08-28,alex
10082,213,1,3,2025-08-28,tanta
10083,690,3,8,2025-08-28,cairo
10084,1799,4,4,2025-08-28,cairo
10085,574,6,4,2025-08-28,cairo
10086,1339,2,8,2025-08-28,alex
10087,1375,7,9,2025-08-28,cairo
10088,156,6,10,2025-08-28,alex
10089,718,4,7,2025-08-28,alex
10090,1640,3,4,2025-08-28,cairo
10091,1190,1,2,2025-08-28,cairo
10092,596,2,1,2025-08-28,alex
